C:\Users\codesky\AppData\Local\Programs\Python\Python36\python.exe C:/Users/codesky/Desktop/DBN/dbn_test.py
WARNING:tensorflow:From C:/Users/codesky/Desktop/DBN/dbn_test.py:7: read_data_sets (from tensorflow.contrib.learn.python.learn.datasets.mnist) is deprecated and will be removed in a future version.
Instructions for updating:
Please use alternatives such as official/mnist/dataset.py from tensorflow/models.
WARNING:tensorflow:From C:\Users\codesky\AppData\Local\Programs\Python\Python36\lib\site-packages\tensorflow\contrib\learn\python\learn\datasets\mnist.py:260: maybe_download (from tensorflow.contrib.learn.python.learn.datasets.base) is deprecated and will be removed in a future version.
Instructions for updating:
Please write your own downloading logic.
WARNING:tensorflow:From C:\Users\codesky\AppData\Local\Programs\Python\Python36\lib\site-packages\tensorflow\contrib\learn\python\learn\datasets\mnist.py:262: extract_images (from tensorflow.contrib.learn.python.learn.datasets.mnist) is deprecated and will be removed in a future version.
Extracting ./data/train-images-idx3-ubyte.gz
Instructions for updating:
Please use tf.data to implement this functionality.
Extracting ./data/train-labels-idx1-ubyte.gz
WARNING:tensorflow:From C:\Users\codesky\AppData\Local\Programs\Python\Python36\lib\site-packages\tensorflow\contrib\learn\python\learn\datasets\mnist.py:267: extract_labels (from tensorflow.contrib.learn.python.learn.datasets.mnist) is deprecated and will be removed in a future version.
Instructions for updating:
Please use tf.data to implement this functionality.
Extracting ./data/t10k-images-idx3-ubyte.gz
WARNING:tensorflow:From C:\Users\codesky\AppData\Local\Programs\Python\Python36\lib\site-packages\tensorflow\contrib\learn\python\learn\datasets\mnist.py:110: dense_to_one_hot (from tensorflow.contrib.learn.python.learn.datasets.mnist) is deprecated and will be removed in a future version.
Instructions for updating:
Please use tf.one_hot on tensors.
Extracting ./data/t10k-labels-idx1-ubyte.gz
WARNING:tensorflow:From C:\Users\codesky\AppData\Local\Programs\Python\Python36\lib\site-packages\tensorflow\contrib\learn\python\learn\datasets\mnist.py:290: DataSet.__init__ (from tensorflow.contrib.learn.python.learn.datasets.mnist) is deprecated and will be removed in a future version.
Instructions for updating:
Please use alternatives such as official/mnist/dataset.py from tensorflow/models.
RBM:  0   784 -> 500
RBM:  1   500 -> 200
RBM:  2   200 -> 50
New RBM:
2019-01-19 20:01:36.263732: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2
Epoch: 0 reconstruction error: 0.061618
Epoch: 1 reconstruction error: 0.053141
Epoch: 2 reconstruction error: 0.049521
Epoch: 3 reconstruction error: 0.047590
Epoch: 4 reconstruction error: 0.046465
Epoch: 5 reconstruction error: 0.045363
Epoch: 6 reconstruction error: 0.044409
Epoch: 7 reconstruction error: 0.044034
Epoch: 8 reconstruction error: 0.044084
Epoch: 9 reconstruction error: 0.043505
Epoch: 10 reconstruction error: 0.042923
Epoch: 11 reconstruction error: 0.042399
Epoch: 12 reconstruction error: 0.042150
Epoch: 13 reconstruction error: 0.042425
Epoch: 14 reconstruction error: 0.042281
Epoch: 15 reconstruction error: 0.042180
Epoch: 16 reconstruction error: 0.041278
Epoch: 17 reconstruction error: 0.041365
Epoch: 18 reconstruction error: 0.041209
Epoch: 19 reconstruction error: 0.041262
Epoch: 20 reconstruction error: 0.040946
Epoch: 21 reconstruction error: 0.041053
Epoch: 22 reconstruction error: 0.040816
Epoch: 23 reconstruction error: 0.040626
Epoch: 24 reconstruction error: 0.040894
Epoch: 25 reconstruction error: 0.040424
